step,source,val/pass@1,val/avg@1,val/math500_first50/pass@1,val/aime24/pass@1,val/aime25/pass@1,episode/reward/mean,graphcredit/node_reward_mean,graphcredit/solver_node_reward_mean,graphcredit/verifier_node_reward_mean,critic/Qwen3-4B_Solver Agent/rewards/mean,critic/Qwen3-4B_Verifier Agent/rewards/mean,response_length/mean,prompt_length/mean,perf/throughput,perf/time_per_step
1,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.221,0.06,0.221,0.06,882.406,1188.578,214.14,77.369
2,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.187,0.063,0.187,0.063,996.031,1326.344,379.122,49.005
3,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.172,0.078,0.172,0.078,882.172,975.078,316.955,46.877
4,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.125,0.031,0.041,0.022,0.041,0.022,1026.234,1394.844,470.878,41.133
5,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.173,0.077,0.173,0.077,820.062,990.25,269.303,53.778
6,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.625,0.156,0.216,0.097,0.216,0.097,735.797,874.016,320.669,40.161
7,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.191,0.09,0.185,0.09,1054.938,1235.578,329.314,55.643
8,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.196,0.085,0.196,0.085,959.922,1312.109,373.719,48.636
9,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.199,0.082,0.199,0.082,826.016,1060.688,376.949,40.042
10,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.201,0.081,0.201,0.081,831.641,1180.75,384.672,41.852
11,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.812,0.203,0.287,0.119,0.287,0.119,978.031,1072.453,347.176,47.249
12,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.109,0.047,0.103,0.047,1132.984,1238.047,343.758,55.179
13,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.125,0.031,0.041,0.022,0.037,0.016,880.609,1163.781,295.199,55.404
14,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.196,0.085,0.19,0.085,890.094,1078.672,312.588,50.386
15,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.151,0.068,0.151,0.068,1022.031,1155.797,352.249,49.461
16,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.188,0.047,0.074,0.019,0.074,0.019,1174.828,1456.5,452.06,46.566
17,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.25,0.062,0.084,0.041,0.078,0.035,1069.453,1565.188,347.524,60.649
18,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.132,0.056,0.132,0.056,1059.141,1262.469,378.845,49.025
19,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.124,0.063,0.124,0.063,1000.859,1303.109,405.993,45.399
20,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.145,0.074,0.145,0.074,1049.266,1270.859,398.291,46.602
21,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.14,0.047,0.134,0.041,1185.016,1274.219,311.45,63.169
22,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.188,0.047,0.063,0.03,0.063,0.03,997.984,1415.859,465.115,41.518
23,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.192,0.089,0.186,0.083,1212.719,1294.234,312.663,64.145
24,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.18,0.07,0.18,0.07,1004.266,1220.469,420.519,42.324
25,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.25,0.062,0.088,0.037,0.088,0.037,1108.891,1335.688,377.018,51.872
26,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.187,0.063,0.187,0.063,780.547,1152.938,304.129,50.86
27,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.625,0.156,0.211,0.102,0.211,0.096,1060.078,1289.719,381.026,49.336
28,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.15,0.069,0.144,0.063,1059.266,1303.984,337.224,56.064
29,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.188,0.047,0.061,0.033,0.052,0.02,1243.766,1836.203,480.148,51.317
30,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.186,0.064,0.186,0.064,887.156,1040.656,316.078,48.793
31,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.146,0.072,0.146,0.072,1176.859,1604.469,423.884,52.492
32,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.202,0.079,0.202,0.079,1025.141,1287.234,422.451,43.79
33,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.162,0.056,0.162,0.056,1015.484,1143.938,337.317,51.214
34,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.625,0.156,0.23,0.082,0.23,0.082,1060.453,1384.672,384.869,50.825
35,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.688,0.172,0.261,0.082,0.261,0.082,1025.969,1154.641,340.165,51.284
36,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.184,0.066,0.184,0.066,808.625,975.766,417.096,34.225
37,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.151,0.068,0.151,0.068,870.906,989.719,401.577,37.066
38,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.18,0.07,0.177,0.07,932.453,1196.516,346.476,49.157
39,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.625,0.156,0.214,0.098,0.208,0.098,933.547,1107.797,277.282,58.896
40,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.103,0.053,0.091,0.04,1143.703,1606.922,384.835,57.18
41,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.175,0.075,0.175,0.075,884.5,925.656,463.647,31.233
42,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.179,0.071,0.179,0.071,928.219,1124.891,388.13,42.318
43,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.115,0.041,0.115,0.041,1149.766,1461.516,382.23,54.654
44,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.111,0.046,0.111,0.046,977.984,1047.578,274.855,58.957
45,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.25,0.062,0.094,0.031,0.088,0.025,1258.734,1391.766,398.935,53.152
46,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.178,0.072,0.178,0.072,790.531,947.719,334.795,41.536
47,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.125,0.031,0.052,0.01,0.049,0.01,964.641,1298.547,358.817,50.459
48,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.104,0.052,0.101,0.046,1308.297,1743.781,432.827,56.412
49,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.25,0.062,0.087,0.038,0.087,0.038,970.125,1081.281,354.28,46.323
50,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.105,0.051,0.105,0.051,940.859,1083.859,374.1,43.298
51,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.812,0.203,0.291,0.115,0.291,0.115,640.219,683.219,424.266,24.955
52,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.119,0.038,0.119,0.038,1051.047,1439.078,385.913,51.62
53,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.75,0.188,0.262,0.113,0.262,0.113,945.859,1074.672,350.219,46.155
54,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.191,0.09,0.191,0.09,908.016,1339.688,371.018,48.466
55,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.198,0.083,0.198,0.083,831.594,876.594,318.177,42.949
56,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.25,0.062,0.107,0.018,0.107,0.018,922.266,1076.688,388.211,41.193
57,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.157,0.062,0.157,0.062,1132.359,1434.672,378.833,54.209
58,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.104,0.053,0.1,0.053,1189.422,1537.438,372.61,58.546
59,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.688,0.172,0.25,0.094,0.25,0.094,738.219,756.75,312.448,38.278
60,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.162,0.057,0.156,0.051,957.281,1302.562,314.885,57.414
61,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.625,0.156,0.212,0.101,0.212,0.101,957.766,1229.484,377.546,46.347
62,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.134,0.053,0.134,0.053,902.188,978.562,492.064,30.577
63,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.75,0.188,0.269,0.106,0.263,0.106,834.859,1055.75,291.867,51.821
64,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.173,0.077,0.173,0.077,1011.297,1244.062,294.599,61.246
65,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.147,0.041,0.141,0.041,1156.922,1304.859,391.96,50.246
66,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.137,0.05,0.137,0.05,939.688,1094.812,348.947,46.643
67,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.151,0.068,0.151,0.068,955.188,1293.938,340.636,52.822
68,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.15,0.069,0.15,0.069,1099.547,1290.641,357.9,53.427
69,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.158,0.06,0.158,0.06,927.625,1218.016,382.712,44.851
70,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.625,0.156,0.228,0.085,0.228,0.085,945.641,1122.328,336.617,49.147
71,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.18,0.07,0.18,0.07,942.906,915.906,408.27,36.423
72,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.688,0.172,0.237,0.107,0.237,0.107,912.562,1054.922,376.117,41.848
73,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.875,0.219,0.304,0.133,0.304,0.133,805.406,839.844,371.803,35.401
74,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.197,0.084,0.197,0.084,927.891,1100.984,297.402,54.576
75,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.107,0.05,0.107,0.05,1146.25,1460.859,351.166,59.393
76,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.15,0.069,0.15,0.069,785.469,936.453,353.972,38.917
77,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.109,0.047,0.109,0.047,996.375,1170.641,404.521,42.856
78,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.149,0.07,0.149,0.07,861.016,1060.625,334.225,45.996
79,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.157,0.061,0.157,0.061,706.812,919.969,301.166,43.213
80,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.189,0.093,0.189,0.093,841.469,965.891,361.344,40.014
81,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.18,0.07,0.18,0.07,834.156,1033.766,271.746,54.99
82,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.112,0.044,0.112,0.044,848.906,1029.953,322.44,46.616
83,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.22,0.061,0.22,0.061,782.891,1021.172,390.306,36.977
84,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.129,0.058,0.129,0.058,736.188,925.953,238.486,55.756
85,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.158,0.061,0.158,0.061,755.844,921.469,324.2,41.39
86,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.166,0.084,0.166,0.084,745.703,1068.984,372.501,38.973
87,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.125,0.031,0.043,0.019,0.043,0.019,986.547,1390.141,345.478,55.035
88,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.153,0.066,0.153,0.066,665.359,850.438,333.261,36.387
89,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.166,0.084,0.166,0.084,847.047,1144.906,432.149,36.875
90,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.131,0.056,0.131,0.05,725.172,941.172,337.894,39.452
91,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.625,0.156,0.227,0.086,0.217,0.086,963.578,1279.5,303.854,59.057
92,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.196,0.085,0.196,0.085,796.609,935.812,366.583,37.807
93,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.201,0.049,0.201,0.049,1031.625,1328.547,347.849,54.28
94,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.179,0.071,0.179,0.071,675.922,788.547,265.844,44.07
95,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.106,0.05,0.106,0.05,997.844,1234.672,354.601,50.367
96,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.625,0.156,0.231,0.082,0.231,0.082,1151.25,1500.203,408.187,51.965
97,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.688,0.172,0.238,0.106,0.238,0.106,877.469,1054.969,317.277,48.726
98,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.189,0.061,0.189,0.061,869.906,1194.266,321.771,51.32
99,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.208,0.074,0.208,0.074,774.578,1043.766,333.276,43.648
100,train_graphcredit_math_v10_nonsharing_solver_verifier.log,0.482,0.482,0.8,0.233,0.2,0.188,0.047,0.064,0.03,0.064,0.03,890.141,1136.422,31.395,516.405
101,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.173,0.077,0.173,0.077,915.828,1172.578,318.28,52.492
102,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.2,0.05,0.2,0.05,741.562,917.469,385.947,34.389
103,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.25,0.062,0.083,0.042,0.074,0.042,1372.531,1858.359,397.708,64.99
104,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.75,0.188,0.252,0.123,0.252,0.123,833.891,1124.156,329.248,47.576
105,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.181,0.069,0.181,0.069,1037.906,1211.375,340.229,52.889
106,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.106,0.05,0.106,0.05,952.703,1259.297,372.194,47.545
